State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,,,,,,,,,
AK,,,,,,,,,,,,,,,2,1,,43,95,80,39,157,56,23,55,34
AL,2,10,25,8,19,37,33,30,50,23,44,55,38,42,59,81,70,16,84,49,36,81,18,35,20,20
AR,6,14,4,17,16,24,29,45,36,108,37,40,35,63,48,69,26,,3,4,12,3,1,1,3,5
AZ,3,2,13,8,5,4,9,5,2,5,,4,,9,3,8,6,6,7,2,8,9,12,4,9,10
CA,2,16,20,13,9,7,22,17,25,3,9,8,3,,10,30,9,56,39,42,71,21,33,26,49,54
CO,49,76,81,71,47,48,98,47,38,41,60,46,25,29,84,34,20,2,,3,6,1,,4,1,
CT,1,,4,1,1,2,2,,4,,1,4,4,,,,1,,,,,,,,,
DC,,,,,,1,,,,,,1,,,,,,,,,,1,1,1,1,1
DE,1,1,6,5,4,2,,,1,,,,,,2,,,49,56,37,19,40,48,37,28,31
FL,47,56,60,85,77,96,66,115,109,61,77,70,43,44,106,56,42,42,65,55,11,43,15,17,32,25
GA,1,17,20,21,53,22,18,22,38,12,28,12,24,27,45,54,21,,2,1,,1,1,,,1
HI,,,,,,,,,,,,,1,,3,2,2,43,105,25,33,52,16,29,55,60
IA,52,53,29,53,49,44,22,25,72,59,45,105,31,28,121,44,39,3,2,2,2,2,2,6,3,1
ID,8,11,4,11,3,8,4,6,7,1,13,2,3,4,5,6,9,23,49,53,49,73,32,55,49,69
IL,43,32,23,34,21,77,62,32,99,64,55,21,37,123,80,21,125,18,31,11,27,73,19,41,28,21
IN,50,15,48,10,17,11,30,15,34,10,13,24,18,25,47,16,25,143,189,103,89,68,94,55,41,129
KS,29,117,92,113,42,72,68,64,71,64,59,101,96,97,124,136,95,30,36,33,20,60,47,39,28,18
KY,15,8,13,11,13,30,25,39,13,6,23,6,15,36,22,19,20,24,79,76,26,62,45,35,15,29
LA,28,36,79,12,8,51,18,19,26,66,43,34,34,23,29,23,43,1,1,,,4,1,2,3,2
MA,1,1,2,,,1,,8,,,1,2,1,,2,1,1,2,8,10,4,27,16,10,2,4
MD,5,1,13,6,21,24,23,4,11,3,8,10,14,10,20,,3,1,,7,5,5,1,4,4,
ME,,1,,2,3,,1,3,1,1,2,2,3,,1,2,1,23,14,3,27,15,6,11,13,14
MI,21,29,21,11,11,10,13,18,22,10,4,35,12,13,23,5,10,18,44,24,114,32,36,15,24,39
MN,10,37,39,47,34,33,34,47,60,36,32,73,34,47,59,71,25,42,96,44,64,79,30,51,47,49
MO,15,17,23,43,34,36,29,12,23,43,27,40,28,88,71,39,106,33,111,46,43,107,49,33,42,46
MS,13,12,55,12,34,45,27,35,14,44,27,61,32,51,55,105,33,5,2,4,10,9,3,6,8,4
MT,3,30,9,19,8,15,8,9,11,22,10,9,11,6,6,10,1,13,55,33,26,66,23,10,32,9
NC,9,27,30,15,24,26,54,10,66,37,23,13,11,36,67,23,31,39,33,30,61,59,9,16,14,32
ND,25,17,15,39,20,13,25,31,28,58,28,47,17,32,47,53,21,47,61,39,37,55,43,52,62,26
NE,49,65,75,70,55,26,60,31,65,103,60,62,27,81,112,40,22,,2,,1,2,2,,2,1
NH,,1,,1,1,1,,2,1,2,,,,,1,,2,,,2,1,2,1,3,,
NJ,5,1,4,5,8,5,2,2,3,2,,2,,7,2,,1,22,11,4,12,2,6,2,14,6
NM,12,31,24,3,13,10,16,11,7,8,5,5,3,7,11,7,5,,,2,,1,2,,6,1
NV,,2,4,1,2,1,1,2,8,1,2,1,1,3,5,1,1,3,2,10,13,21,8,6,11,2
NY,14,10,25,21,13,6,8,7,20,1,5,3,15,18,8,4,8,12,13,13,41,39,13,30,20,7
OH,21,9,61,24,9,8,10,15,24,18,26,8,25,13,8,4,36,50,82,36,105,122,64,86,17,113
OK,7,76,64,65,41,79,50,57,85,143,44,61,18,81,62,27,30,2,,4,2,1,,3,,1
OR,,5,1,2,2,4,4,14,3,1,3,4,2,2,7,1,4,7,6,7,17,30,12,9,9,12
PA,16,20,32,13,27,6,25,14,61,9,5,12,16,9,26,11,8,1,,1,,1,1,1,,
PR,,,,,,1,1,,,3,2,1,1,,1,1,1,,2,,,,1,,,
RI,1,,,,1,,,,,,1,,,,,,,18,57,19,23,20,10,9,7,8
SC,3,10,9,13,42,54,24,17,42,17,20,14,12,18,87,14,36,42,27,34,38,19,11,15,29,25
SD,10,34,41,85,36,10,46,30,29,41,18,31,12,81,35,19,27,11,44,46,31,103,29,41,18,19
TN,4,9,8,10,29,40,17,37,33,23,27,14,31,45,16,23,26,199,120,132,109,104,115,84,46,245
TX,39,192,189,117,187,235,138,191,120,168,148,139,175,160,179,105,116,1,,4,2,1,1,1,,2
UT,2,5,4,6,,2,3,1,7,3,3,5,4,1,,4,2,2,39,16,7,50,11,5,12,7
VA,9,2,5,28,8,10,25,10,15,10,11,14,7,32,84,24,16,,2,2,2,2,1,,,
VT,,,,1,,,,,1,,,,2,2,,,,,3,6,2,2,,2,3,2
WA,1,2,1,,2,,1,14,,2,3,2,,2,10,4,2,18,39,16,48,42,4,16,22,17
WI,9,10,26,37,36,7,21,14,24,11,18,12,27,14,36,63,13,1,3,,2,1,3,,9,3
WV,3,1,1,1,2,,3,1,15,1,4,1,1,2,5,,,5,19,12,20,7,4,8,13,8
WY,6,23,10,13,7,9,6,26,16,20,5,16,8,4,6,6,1,,,,,,,,,
