"ProjectState","ApprovalFiscalYear","mn_hpi"
"AK",1990,111.8725
"AK",1991,127.4425
"AK",1992,133.35
"AK",1993,136.085
"AK",1994,142.185
"AK",1995,148.2025
"AK",1996,155.1175
"AK",1997,159.2775
"AK",1998,164.1725
"AK",1999,169.965
"AK",2000,172.87
"AK",2001,181.455
"AK",2002,191.3675
"AK",2003,200.6775
"AK",2004,220.9025
"AK",2005,248.2025
"AK",2006,272.5425
"AK",2007,283.29
"AK",2008,281.9975
"AK",2009,280.575
"AK",2010,278.9275
"AK",2011,281.1675
"AK",2012,282.62
"AK",2013,291.4975
"AK",2014,298.22
"AK",2015,308.74
"AK",2016,315.853333333333
"AL",1990,146.7
"AL",1991,151.295
"AL",1992,157.3975
"AL",1993,164.13
"AL",1994,170.0275
"AL",1995,176.9325
"AL",1996,184.185
"AL",1997,190.9625
"AL",1998,200.785
"AL",1999,205.91
"AL",2000,211.125
"AL",2001,222.805
"AL",2002,229.3625
"AL",2003,238.4425
"AL",2004,247.5625
"AL",2005,264.995
"AL",2006,285.9575
"AL",2007,299.4775
"AL",2008,303.0575
"AL",2009,298.62
"AL",2010,287.515
"AL",2011,277.8725
"AL",2012,276.8775
"AL",2013,274.9525
"AL",2014,279.8425
"AL",2015,288.4775
"AL",2016,297.166666666667
"AR",1990,128.17
"AR",1991,131.2
"AR",1992,135.49
"AR",1993,141.6325
"AR",1994,149.75
"AR",1995,156.7875
"AR",1996,162.45
"AR",1997,167.265
"AR",1998,173.4375
"AR",1999,177.74
"AR",2000,181.945
"AR",2001,191.6575
"AR",2002,198.06
"AR",2003,206.175
"AR",2004,218.11
"AR",2005,234.025
"AR",2006,248.38
"AR",2007,255.6875
"AR",2008,254.7925
"AR",2009,251.6025
"AR",2010,245.1525
"AR",2011,241.2425
"AR",2012,242.5025
"AR",2013,246.2975
"AR",2014,250.34
"AR",2015,256.7775
"AR",2016,263.343333333333
"AZ",1990,133.6475
"AZ",1991,136.685
"AZ",1992,140.7975
"AZ",1993,144.135
"AZ",1994,151.41
"AZ",1995,160.1025
"AZ",1996,167.805
"AZ",1997,174.5075
"AZ",1998,183.7125
"AZ",1999,192.8225
"AZ",2000,204.5225
"AZ",2001,218.1025
"AZ",2002,230.0225
"AZ",2003,243.2925
"AZ",2004,273.8275
"AZ",2005,355.1925
"AZ",2006,420.8925
"AZ",2007,416.1975
"AZ",2008,358.115
"AZ",2009,300.7725
"AZ",2010,263.6425
"AZ",2011,235.635
"AZ",2012,245.255
"AZ",2013,279.0075
"AZ",2014,305.4625
"AZ",2015,325.2175
"AZ",2016,345.166666666667
"CA",1990,229.08
"CA",1991,228.2
"CA",1992,225.3575
"CA",1993,216.815
"CA",1994,206.205
"CA",1995,202.31
"CA",1996,201.84
"CA",1997,207.2975
"CA",1998,224.6525
"CA",1999,242.675
"CA",2000,273.1375
"CA",2001,307.925
"CA",2002,342.3075
"CA",2003,384.9225
"CA",2004,472.085
"CA",2005,582.365
"CA",2006,641.21
"CA",2007,606.0975
"CA",2008,486.8725
"CA",2009,421.83
"CA",2010,409.4175
"CA",2011,388.245
"CA",2012,388.7625
"CA",2013,438.6375
"CA",2014,493.325
"CA",2015,529.5
"CA",2016,562.703333333333
"CO",1990,128.8525
"CO",1991,133.7225
"CO",1992,142.9025
"CO",1993,155.9
"CO",1994,174.8925
"CO",1995,188.75
"CO",1996,199.97
"CO",1997,210.64
"CO",1998,223.215
"CO",1999,242.615
"CO",2000,270.985
"CO",2001,296.4475
"CO",2002,311.255
"CO",2003,319.3125
"CO",2004,330.4575
"CO",2005,346.49
"CO",2006,356.79
"CO",2007,361.1375
"CO",2008,357.67
"CO",2009,351.835
"CO",2010,340.975
"CO",2011,331.1125
"CO",2012,336.0575
"CO",2013,358.08
"CO",2014,389.175
"CO",2015,432.38
"CO",2016,474.393333333333
"CT",1990,249.8
"CT",1991,237.7875
"CT",1992,235.165
"CT",1993,231.285
"CT",1994,223.9325
"CT",1995,222.755
"CT",1996,225.8825
"CT",1997,228.495
"CT",1998,239.95
"CT",1999,252.8525
"CT",2000,272.4675
"CT",2001,296.46
"CT",2002,324.835
"CT",2003,352.43
"CT",2004,394.895
"CT",2005,443.195
"CT",2006,468.2175
"CT",2007,469.3675
"CT",2008,449.5025
"CT",2009,424.1975
"CT",2010,408.38
"CT",2011,395.61
"CT",2012,388.2425
"CT",2013,385.255
"CT",2014,386.335
"CT",2015,393.66
"CT",2016,395.576666666667
"DC",1990,190.18
"DC",1991,191.3975
"DC",1992,195.71
"DC",1993,194.165
"DC",1994,189.0475
"DC",1995,187.3275
"DC",1996,190.535
"DC",1997,190.0225
"DC",1998,200.53
"DC",1999,216.1375
"DC",2000,246.605
"DC",2001,284.0125
"DC",2002,327.32
"DC",2003,368.445
"DC",2004,441.8675
"DC",2005,546.5875
"DC",2006,611.0775
"DC",2007,627.23
"DC",2008,588.965
"DC",2009,561.295
"DC",2010,559.6375
"DC",2011,564.73
"DC",2012,585.345
"DC",2013,638.7625
"DC",2014,695.83
"DC",2015,744.4275
"DC",2016,792.326666666667
"DE",1990,226.6425
"DE",1991,230.5625
"DE",1992,233.125
"DE",1993,234.185
"DE",1994,230.6375
"DE",1995,231.045
"DE",1996,235.12
"DE",1997,238.13
"DE",1998,245.925
"DE",1999,255.3525
"DE",2000,270.055
"DE",2001,289.695
"DE",2002,312.985
"DE",2003,339.6175
"DE",2004,386.5175
"DE",2005,445.775
"DE",2006,488.155
"DE",2007,500.2175
"DE",2008,483.68
"DE",2009,457.675
"DE",2010,438.3325
"DE",2011,414.0675
"DE",2012,405.56
"DE",2013,409.1975
"DE",2014,417.5575
"DE",2015,430.3325
"DE",2016,439.233333333333
"FL",1990,153.3625
"FL",1991,155.93
"FL",1992,160.165
"FL",1993,163.78
"FL",1994,165.13
"FL",1995,169.0625
"FL",1996,173.7825
"FL",1997,178.47
"FL",1998,187.3225
"FL",1999,194.6575
"FL",2000,207.8375
"FL",2001,228.495
"FL",2002,251.865
"FL",2003,278.4725
"FL",2004,326.1675
"FL",2005,409.61
"FL",2006,474.445
"FL",2007,462.17
"FL",2008,383.63
"FL",2009,327.195
"FL",2010,295.05
"FL",2011,272.6575
"FL",2012,271.24
"FL",2013,293.335
"FL",2014,321.5625
"FL",2015,352.65
"FL",2016,382.8
"GA",1990,160.0025
"GA",1991,161.6325
"GA",1992,165.8125
"GA",1993,170.425
"GA",1994,174.2125
"GA",1995,180.68
"GA",1996,188.975
"GA",1997,197.4575
"GA",1998,209.4925
"GA",1999,222.3025
"GA",2000,235.67
"GA",2001,252.9175
"GA",2002,264.3975
"GA",2003,274.535
"GA",2004,286.6925
"GA",2005,302.76
"GA",2006,316.5775
"GA",2007,325.785
"GA",2008,318.975
"GA",2009,304.4125
"GA",2010,282.57
"GA",2011,261.4875
"GA",2012,252.2525
"GA",2013,262.635
"GA",2014,281.17
"GA",2015,300.21
"GA",2016,317.306666666667
"HI",1990,235.0475
"HI",1991,259.5825
"HI",1992,263.2
"HI",1993,264.6575
"HI",1994,263.655
"HI",1995,260.1425
"HI",1996,247.495
"HI",1997,231.4425
"HI",1998,230.68
"HI",1999,226.0425
"HI",2000,232.3925
"HI",2001,251.845
"HI",2002,271.205
"HI",2003,300.995
"HI",2004,369.785
"HI",2005,459.6975
"HI",2006,525.9725
"HI",2007,536.435
"HI",2008,510.7075
"HI",2009,466.9925
"HI",2010,448.9575
"HI",2011,442.4225
"HI",2012,448.07
"HI",2013,472.8525
"HI",2014,507.43
"HI",2015,542.1075
"HI",2016,574.45
"IA",1990,117.795
"IA",1991,123.2775
"IA",1992,128.63
"IA",1993,135.165
"IA",1994,144.8875
"IA",1995,152.8
"IA",1996,159.865
"IA",1997,166.2625
"IA",1998,174.3175
"IA",1999,181.845
"IA",2000,189.3225
"IA",2001,199.2175
"IA",2002,206.4975
"IA",2003,214.0125
"IA",2004,223.815
"IA",2005,234.8425
"IA",2006,241.125
"IA",2007,246.3825
"IA",2008,247.61
"IA",2009,247.4075
"IA",2010,245.7425
"IA",2011,245.125
"IA",2012,247.8375
"IA",2013,252.1
"IA",2014,257.6075
"IA",2015,266.6075
"IA",2016,275.023333333333
"ID",1990,123.1
"ID",1991,130.5575
"ID",1992,139.4025
"ID",1993,151.725
"ID",1994,163.77
"ID",1995,172.7425
"ID",1996,178.67
"ID",1997,183.6175
"ID",1998,190.2675
"ID",1999,193.6775
"ID",2000,197.0825
"ID",2001,207.44
"ID",2002,213.7475
"ID",2003,222.375
"ID",2004,238.645
"ID",2005,274.62
"ID",2006,320.77
"ID",2007,339.3075
"ID",2008,330.38
"ID",2009,308.1075
"ID",2010,279.3325
"ID",2011,254.37
"ID",2012,257.915
"ID",2013,272.375
"ID",2014,288.835
"ID",2015,308.2675
"ID",2016,327.676666666667
"IL",1990,168.5375
"IL",1991,174.9875
"IL",1992,181.5125
"IL",1993,187.765
"IL",1994,196.0675
"IL",1995,203.6875
"IL",1996,210.805
"IL",1997,217.185
"IL",1998,224.25
"IL",1999,233.1775
"IL",2000,247.8775
"IL",2001,262.73
"IL",2002,278.9725
"IL",2003,293.855
"IL",2004,318.3975
"IL",2005,346.5825
"IL",2006,366.1225
"IL",2007,371.3925
"IL",2008,357.355
"IL",2009,333.755
"IL",2010,316.795
"IL",2011,301.8275
"IL",2012,296.6975
"IL",2013,298.325
"IL",2014,308.5575
"IL",2015,320.0775
"IL",2016,328.996666666667
"IN",1990,140.355
"IN",1991,145.905
"IN",1992,151.985
"IN",1993,157.6025
"IN",1994,164.57
